id	text	category
001	好	confirm
002	不要	negate
003	是	confirm
004	對	confirm
005	可以	confirm
006	不行	negate
007	嗯好	confirm
008	好喔	confirm
009	不要了	negate
010	是的	confirm
011	沒有	negate
012	有	confirm
013	好嗎	confirm
014	不是	negate
015	對啊	confirm
016	好啊	confirm
017	不要啊	negate
018	可以啊	confirm
019	嗯	other
020	喔	other
021	先不要	negate
022	暫時不要	negate
023	不要插管	negate
024	不要急救	negate
025	不要了啦	negate
026	好的	confirm
027	可以的	confirm
028	沒問題	confirm
029	同意	confirm
030	不同意	negate
031	拒絕	negate
032	放棄	negate
033	先這樣	other
034	再說	other
035	等等	other
036	知道了	confirm
037	了解	confirm
038	謝謝	other
039	不用了	negate
040	先不用	negate
041	好啦	confirm
042	對啦	confirm
043	是啊	confirm
044	沒有啊	negate
045	不行啊	negate
046	可以嗎	confirm
047	要嗎	confirm
048	不要嗎	negate
049	先好	confirm
050	就這樣	other
