id	text	type
001	嗯	vocal
002	嗯	vocal
003	呃啊	vocal
004	嗯	vocal
005	呃	vocal
006	呃啊呃	vocal
007	嗯	vocal
008	啊	vocal
009	嗯嗯	vocal
010	嗯	vocal
011	呃	vocal
012	嗯	vocal
013	嗯啊	vocal
014	嗯	vocal
015	嗯	vocal
016	啊	vocal
017	嗯	vocal
018	欸	vocal
019	欸	vocal
020	欸	vocal
021	呃嗯	vocal
022	嗯呃	vocal
023	啊嗯	vocal
024	欸嗯	vocal
025	嗯哼	vocal
026	呃呃	vocal
027	啊啊	vocal
028	嗯嗯嗯	vocal
029	呃啊嗯	vocal
030	欸啊	vocal
031	嗯欸	vocal
032	啊呃	vocal
033	呃…	vocal
034	嗯…	vocal
035	欸…	vocal
036	那個	lexical
037	就是	lexical
038	然後	lexical
039	這個	lexical
040	嗯那個	lexical
041	呃那個	lexical
042	啊這個	lexical
043	嗯就是	lexical
044	欸那個	lexical
045	呃啊啊	vocal
046	嗯啊嗯	vocal
047	啊嗯啊	vocal
048	欸欸	vocal
049	嗯哼嗯	vocal
050	呃嗯啊	vocal
